Occupations,noc_5,TOTAL_WITH_EMP_INC,AVG_EMP_INC,aioe,caioe,groupmean,noc_title,exposure_level,comp_level,quadrant,label
51112 Technical writers,51112,90,37833.3333333333,6.568273856,5.371388398,0.530555556,Technical writers,High Exposure,Low Complementarity,HE-LC,
51113 Journalists,51113,35,22000,6.56755127,4.653839802,0.639722222,Journalists,High Exposure,High Complementarity,HE-HC,
"51114 Translators, terminologists and interpreters",51114,575,30168.6956521739,6.523049621,4.692971811,0.628888889,"Translators, terminologists and interpreters",High Exposure,High Complementarity,HE-HC,
"51120 Producers, directors, choreographers and related occupations",51120,245,42367.3469387755,6.292552339,4.420683731,0.647708333,"Producers, directors, choreographers and related occupations",High Exposure,High Complementarity,HE-HC,
51122 Musicians and singers,51122,475,14983.1578947368,6.019128556,5.020956403,0.514166667,Musicians and singers,High Exposure,Low Complementarity,HE-LC,
52100 Library and public archive technicians,52100,315,30514.2857142857,6.051692512,4.888422729,0.540555556,Library and public archive technicians,High Exposure,Low Complementarity,HE-LC,
52110 Film and video camera operators,52110,15,2800,5.83309117,4.322968678,0.607222222,Film and video camera operators,Low Exposure,Low Complementarity,LE-LC,
52111 Graphic arts technicians,52111,60,42666.6666666667,6.158020763,5.242810261,0.493472222,Graphic arts technicians,High Exposure,Low Complementarity,HE-LC,
52113 Audio and video recording technicians,52113,285,33350.8771929825,6.113513922,4.586557856,0.598194444,Audio and video recording technicians,High Exposure,Low Complementarity,HE-LC,
52114 Announcers and other broadcasters,52114,20,,6.417429825,4.643723526,0.624722222,Announcers and other broadcasters,High Exposure,High Complementarity,HE-HC,
"52119 Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",52119,2550,58758.431372549,5.828815853,4.362759016,0.599861111,"Other technical and coordinating occupations in motion pictures, broadcasting and the performing arts",Low Exposure,Low Complementarity,LE-LC,
52120 Graphic designers and illustrators,52120,1365,37712.0879120879,6.362911254,4.828119961,0.589583333,Graphic designers and illustrators,High Exposure,Low Complementarity,HE-LC,Graphic designers
52121 Interior designers and interior decorators,52121,0,,6.540182749,4.536343423,0.654722222,Interior designers and interior decorators,High Exposure,High Complementarity,HE-HC,
"53100 Registrars, restorers, interpreters and other occupations related to museum and art galleries",53100,7650,21255.3725490196,5.993465673,4.265349737,0.636666667,"Registrars, restorers, interpreters and other occupations related to museum and art galleries",High Exposure,High Complementarity,HE-HC,
53110 Photographers,53110,125,,5.946157338,4.365470512,0.614166667,Photographers,Low Exposure,High Complementarity,LE-HC,
"53111 Motion pictures, broadcasting, photography and performing arts assistants and operators",53111,60,,5.761055988,4.44213515,0.579513889,"Motion pictures, broadcasting, photography and performing arts assistants and operators",Low Exposure,Low Complementarity,LE-LC,
53120 Dancers,53120,125,10344,4.83117283,3.705241162,0.581388889,Dancers,Low Exposure,Low Complementarity,LE-LC,
"53121 Actors, comedians and circus performers",53121,160,6625,5.790803512,4.843188694,0.507638889,"Actors, comedians and circus performers",Low Exposure,Low Complementarity,LE-LC,
"53122 Painters, sculptors and other visual artists",53122,485,,5.778077737,5.14730425,0.4575,"Painters, sculptors and other visual artists",Low Exposure,Low Complementarity,LE-LC,
"53123 Theatre, fashion, exhibit and other creative designers",53123,340,49200,6.260278956,4.715432817,0.595416667,"Theatre, fashion, exhibit and other creative designers",High Exposure,Low Complementarity,HE-LC,
53124 Artisans and craftspersons,53124,155,,5.833884266,4.663184931,0.548277778,Artisans and craftspersons,Low Exposure,Low Complementarity,LE-LC,
53201 Coaches,53201,385,33149.3506493507,6.08725821,3.858645343,0.714444444,Coaches,High Exposure,High Complementarity,HE-HC,
53202 Sports officials and referees,53202,95,,6.011560786,4.815928141,0.547222222,Sports officials and referees,High Exposure,Low Complementarity,HE-LC,
"54100 Program leaders and instructors in recreation, sport and fitness",54100,6020,13978.1727574751,5.630436232,3.929604644,0.649166667,"Program leaders and instructors in recreation, sport and fitness",Low Exposure,High Complementarity,LE-HC,
55109 Other performers,55109,55,41454.5454545455,5.475314746,5.038810487,0.428055556,Other performers,Low Exposure,Low Complementarity,LE-LC,
60010 Corporate sales managers,60010,260,74153.8461538462,6.594914041,4.587706633,0.652777778,Corporate sales managers,High Exposure,High Complementarity,HE-HC,
60020 Retail and wholesale trade managers,60020,265,24943.3962264151,6.48623218,4.198936529,0.70162037,Retail and wholesale trade managers,High Exposure,High Complementarity,HE-HC,
60030 Restaurant and food service managers,60030,255,27588.2352941176,5.97989782,4.257355031,0.636388889,Restaurant and food service managers,High Exposure,High Complementarity,HE-HC,
60031 Accommodation service managers,60031,545,52264.2201834862,6.215860454,4.021316388,0.701388889,Accommodation service managers,High Exposure,High Complementarity,HE-HC,
60040 Managers in customer and personal services,60040,330,46772.7272727273,6.181318069,4.285723426,0.655810185,Managers in customer and personal services,High Exposure,High Complementarity,HE-HC,
62010 Retail sales supervisors,62010,210,36857.1428571429,6.187927951,4.670095986,0.593796296,Retail sales supervisors,High Exposure,Low Complementarity,HE-LC,
62020 Food service supervisors,62020,820,32424.3902439024,5.918487711,4.044299936,0.665,Food service supervisors,Low Exposure,High Complementarity,LE-HC,
"62022 Accommodation, travel, tourism and related services supervisors",62022,100,34200,6.248049388,4.304211801,0.659444444,"Accommodation, travel, tourism and related services supervisors",High Exposure,High Complementarity,HE-HC,
62023 Customer and information services supervisors,62023,205,41317.0731707317,6.140052496,4.122363023,0.676944444,Customer and information services supervisors,High Exposure,High Complementarity,HE-HC,
62024 Cleaning supervisors,62024,155,40903.2258064516,5.795825081,4.214852795,0.621111111,Cleaning supervisors,Low Exposure,High Complementarity,LE-HC,
62029 Other services supervisors,62029,330,36000,6.140052496,4.122363023,0.676944444,Other services supervisors,High Exposure,High Complementarity,HE-HC,
62100 Technical sales specialists - wholesale trade,62100,55,,6.397342455,4.53417549,0.639722222,Technical sales specialists - wholesale trade,High Exposure,High Complementarity,HE-HC,
62101 Retail and wholesale buyers,62101,15,16000,6.403669143,4.701360429,0.614166667,Retail and wholesale buyers,High Exposure,High Complementarity,HE-HC,
62200 Chefs,62200,1060,34955.6603773585,5.901226374,3.875138652,0.691666667,Chefs,Low Exposure,High Complementarity,LE-HC,
63100 Insurance agents and brokers,63100,20,,6.639157942,5.008875825,0.593888889,Insurance agents and brokers,High Exposure,Low Complementarity,HE-LC,
63101 Real estate agents and salespersons,63101,25,38000,6.424457341,4.500689282,0.647777778,Real estate agents and salespersons,High Exposure,High Complementarity,HE-HC,
63102 Financial sales representatives,63102,85,41176.4705882353,6.675194987,5.179761238,0.572407407,Financial sales representatives,High Exposure,Low Complementarity,HE-LC,
63200 Cooks,63200,6790,24855.1546391753,5.724964128,4.64109973,0.537555556,Cooks,Low Exposure,Low Complementarity,LE-LC,
63202 Bakers,63202,95,,5.860904262,4.827105871,0.524722222,Bakers,Low Exposure,Low Complementarity,LE-LC,
63210 Hairstylists and barbers,63210,155,15741.935483871,5.716365973,4.257661786,0.603472222,Hairstylists and barbers,Low Exposure,Low Complementarity,LE-LC,
"63211 Estheticians, electrologists and related occupations",63211,260,,5.933080109,4.652735137,0.562916667,"Estheticians, electrologists and related occupations",Low Exposure,Low Complementarity,LE-LC,
63220 Shoe repairers and shoemakers,63220,1930,40401.2953367876,5.640286769,4.864747338,0.485833333,Shoe repairers and shoemakers,Low Exposure,Low Complementarity,LE-LC,
64100 Retail salespersons and visual merchandisers,64100,2390,20657.949790795,6.049522856,4.700877995,0.570888889,Retail salespersons and visual merchandisers,High Exposure,Low Complementarity,HE-LC,
64101 Sales and account representatives - wholesale trade (non-technical),64101,275,44618.1818181818,6.310203142,4.557368936,0.626111111,Sales and account representatives - wholesale trade (non-technical),High Exposure,High Complementarity,HE-HC,
"64200 Tailors, dressmakers, furriers and milliners",64200,105,16904.7619047619,5.789534627,4.750634802,0.527777778,"Tailors, dressmakers, furriers and milliners",Low Exposure,Low Complementarity,LE-LC,
"64201 Image, social and other personal consultants",64201,45,,5.883265754,4.391481569,0.598472222,"Image, social and other personal consultants",Low Exposure,Low Complementarity,LE-LC,
64300 Ma�tres d'h�tel and hosts/hostesses,64300,495,16096.9696969697,6.009090285,4.802264653,0.549166667,Maîtres d'hôtel and hosts/hostesses,High Exposure,Low Complementarity,HE-LC,
64301 Bartenders,64301,1135,10937.4449339207,5.756919704,5.018115009,0.476666667,Bartenders,Low Exposure,Low Complementarity,LE-LC,
64310 Travel counsellors,64310,165,27212.1212121212,6.545554444,5.46735617,0.513055556,Travel counsellors,High Exposure,Low Complementarity,HE-LC,
64320 Tour and travel guides,64320,510,16423.5294117647,6.368551781,4.534055059,0.636388889,Tour and travel guides,High Exposure,High Complementarity,HE-HC,
64322 Outdoor sport and recreational guides,64322,150,24200,5.924543618,3.974381343,0.6775,Outdoor sport and recreational guides,Low Exposure,High Complementarity,LE-HC,
64400 Customer services representatives - financial institutions,64400,120,37083.3333333333,6.510472632,5.879318479,0.445277778,Customer services representatives - financial institutions,High Exposure,Low Complementarity,HE-LC,
64409 Other customer and information services representatives,64409,5540,27085.3700361011,6.608430958,5.197621068,0.561458333,Other customer and information services representatives,High Exposure,Low Complementarity,HE-LC,
64410 Security guards and related security service occupations,64410,2375,35047.1578947368,5.844485653,4.275042406,0.617222222,Security guards and related security service occupations,Low Exposure,High Complementarity,LE-HC,
65100 Cashiers,65100,1655,13195.8912386707,5.922752488,5.216957816,0.4675,Cashiers,Low Exposure,Low Complementarity,LE-LC,
"65102 Store shelf stockers, clerks and order fillers",65102,560,15441.9642857143,5.490511607,4.525096649,0.524166667,"Store shelf stockers, clerks and order fillers",Low Exposure,Low Complementarity,LE-LC,
65109 Other sales related occupations,65109,320,,6.415723604,5.074735259,0.55781746,Other sales related occupations,High Exposure,Low Complementarity,HE-LC,
65200 Food and beverage servers,65200,170,14564.7058823529,5.438765246,4.587396642,0.503402778,Food and beverage servers,Low Exposure,Low Complementarity,LE-LC,
"65201 Food counter attendants, kitchen helpers and related support occupations",65201,4300,17175.4069767442,5.689286435,4.894307881,0.488611111,"Food counter attendants, kitchen helpers and related support occupations",Low Exposure,Low Complementarity,LE-LC,
"65211 Operators and attendants in amusement, recreation and sport",65211,3080,19374.2857142857,5.969471199,4.256183929,0.634444444,"Operators and attendants in amusement, recreation and sport",Low Exposure,High Complementarity,LE-HC,
65220 Pet groomers and animal care workers,65220,1335,30692.8838951311,5.627589122,3.939411363,0.648333333,Pet groomers and animal care workers,Low Exposure,High Complementarity,LE-HC,
65229 Other support occupations in personal services,65229,335,14307.4626865672,6.140052496,4.122363023,0.676944444,Other support occupations in personal services,High Exposure,High Complementarity,HE-HC,
65310 Light duty cleaners,65310,8015,19174.6537741734,5.561989149,4.79268586,0.484027778,Light duty cleaners,Low Exposure,Low Complementarity,LE-LC,Light duty cleaners
65311 Specialized cleaners,65311,100,21000,5.272076627,4.116613166,0.5675,Specialized cleaners,Low Exposure,Low Complementarity,LE-LC,
"65312 Janitors, caretakers and heavy-duty cleaners",65312,3180,22034.9056603774,5.388025524,4.055985881,0.595555556,"Janitors, caretakers and heavy-duty cleaners",Low Exposure,Low Complementarity,LE-LC,
"65320 Dry cleaning, laundry and related occupations",65320,150,,5.559304158,5.058966784,0.438333333,"Dry cleaning, laundry and related occupations",Low Exposure,Low Complementarity,LE-LC,
65329 Other service support occupations,65329,1105,14314.0271493213,5.900750888,4.456034281,0.592118056,Other service support occupations,Low Exposure,Low Complementarity,LE-LC,
70010 Construction managers,70010,265,83056.6037735849,6.502255361,3.785757566,0.766111111,Construction managers,High Exposure,High Complementarity,HE-HC,
70012 Facility operation and maintenance managers,70012,1555,55664.308681672,6.499978183,4.520672611,0.652962963,Facility operation and maintenance managers,High Exposure,High Complementarity,HE-HC,
70020 Managers in transportation,70020,155,54193.5483870968,6.533072448,4.536163667,0.654666667,Managers in transportation,High Exposure,High Complementarity,HE-HC,
"72013 Contractors and supervisors, carpentry trades",72013,15,50000,5.887740735,3.321667065,0.784166667,"Contractors and supervisors, carpentry trades",Low Exposure,High Complementarity,LE-HC,
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers",72014,120,54166.6666666667,5.877118694,3.502261648,0.752361111,"Contractors and supervisors, other construction trades, installers, repairers and servicers",Low Exposure,High Complementarity,LE-HC,
"72021 Contractors and supervisors, heavy equipment operator crews",72021,60,,5.887740735,3.321667065,0.784166667,"Contractors and supervisors, heavy equipment operator crews",Low Exposure,High Complementarity,LE-HC,
"72024 Supervisors, motor transport and other ground transit operators",72024,20,34000,5.870666067,4.221754325,0.627777778,"Supervisors, motor transport and other ground transit operators",Low Exposure,High Complementarity,LE-HC,
72100 Machinists and machining and tooling inspectors,72100,20,70000,5.644522322,4.501506551,0.550833333,Machinists and machining and tooling inspectors,Low Exposure,Low Complementarity,LE-LC,
72106 Welders and related machine operators,72106,110,37818.1818181818,5.566512468,4.718187291,0.500763889,Welders and related machine operators,Low Exposure,Low Complementarity,LE-LC,
72200 Electricians (except industrial and power system),72200,205,51853.6585365854,5.664204633,3.527540775,0.725555556,Electricians (except industrial and power system),Low Exposure,High Complementarity,LE-HC,
72205 Telecommunications equipment installation and cable television service technicians,72205,20,50000,5.697080353,4.080310966,0.632222222,Telecommunications equipment installation and cable television service technicians,Low Exposure,High Complementarity,LE-HC,
72300 Plumbers,72300,140,61142.8571428572,5.523745075,3.653343617,0.686944444,Plumbers,Low Exposure,High Complementarity,LE-HC,
72310 Carpenters,72310,670,40440.2985074627,5.445526961,4.013644526,0.611111111,Carpenters,Low Exposure,Low Complementarity,LE-LC,
72311 Cabinetmakers,72311,30,,5.436207323,4.590575073,0.503888889,Cabinetmakers,Low Exposure,Low Complementarity,LE-LC,
72320 Bricklayers,72320,30,70000,5.307148417,3.860018182,0.621759259,Bricklayers,Low Exposure,High Complementarity,LE-HC,
72400 Construction millwrights and industrial mechanics,72400,60,38000,5.503397191,3.97350449,0.626805556,Construction millwrights and industrial mechanics,Low Exposure,High Complementarity,LE-HC,
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers",72410,365,49904.1095890411,5.647499861,4.12237118,0.618492063,"Automotive service technicians, truck and bus mechanics and mechanical repairers",Low Exposure,High Complementarity,LE-HC,
"72602 Deck officers, water transport",72602,10,,5.71745572,3.357417053,0.761111111,"Deck officers, water transport",Low Exposure,High Complementarity,LE-HC,
72999 Other technical trades and related occupations,72999,60,22000,5.644338445,4.057652193,0.629444444,Other technical trades and related occupations,Low Exposure,High Complementarity,LE-HC,
73110 Roofers and shinglers,73110,40,23750,5.244433036,3.618658795,0.658333333,Roofers and shinglers,Low Exposure,High Complementarity,LE-HC,
73112 Painters and decorators (except interior decorators),73112,150,30400,5.59709523,5.17420359,0.423888889,Painters and decorators (except interior decorators),Low Exposure,Low Complementarity,LE-LC,
73200 Residential and commercial installers and servicers,73200,105,,5.394339283,3.976761051,0.610439815,Residential and commercial installers and servicers,Low Exposure,Low Complementarity,LE-LC,
73201 General building maintenance workers and building superintendents,73201,3470,31061.0951008646,5.587066367,3.639352953,0.696944444,General building maintenance workers and building superintendents,Low Exposure,High Complementarity,LE-HC,
73209 Other repairers and servicers,73209,35,,5.708449475,4.309946974,0.594351852,Other repairers and servicers,Low Exposure,Low Complementarity,LE-LC,
73300 Transport truck drivers,73300,905,27503.8674033149,5.6039813,4.146725542,0.608472222,Transport truck drivers,Low Exposure,Low Complementarity,LE-LC,
"73301 Bus drivers, subway operators and other transit operators",73301,445,,5.75381356,4.516841837,0.563333333,"Bus drivers, subway operators and other transit operators",Low Exposure,Low Complementarity,LE-LC,
73400 Heavy equipment operators,73400,220,,5.527178568,3.89664064,0.643214286,Heavy equipment operators,Low Exposure,High Complementarity,LE-HC,
74100 Mail and parcel sorters and related occupations,74100,15,12000,5.50043463,5.052760367,0.429722222,Mail and parcel sorters and related occupations,Low Exposure,Low Complementarity,LE-LC,
74102 Couriers and messengers,74102,15,14000,5.567333508,4.386514479,0.560277778,Couriers and messengers,Low Exposure,Low Complementarity,LE-LC,
74205 Public works maintenance equipment operators and related workers,74205,60,26000,5.420165999,4.134690783,0.585,Public works maintenance equipment operators and related workers,Low Exposure,Low Complementarity,LE-LC,
75101 Material handlers,75101,795,22123.2704402516,5.792257996,4.375229604,0.590396825,Material handlers,Low Exposure,Low Complementarity,LE-LC,
75110 Construction trades helpers and labourers,75110,430,28534.8837209302,5.415087031,3.92883992,0.621925926,Construction trades helpers and labourers,Low Exposure,High Complementarity,LE-HC,
75119 Other trades helpers and labourers,75119,10,8000,5.373384894,3.910630117,0.620555556,Other trades helpers and labourers,Low Exposure,High Complementarity,LE-HC,
75201 Delivery service drivers and door-to-door distributors,75201,605,20323.1404958678,5.567333508,4.386514479,0.560277778,Delivery service drivers and door-to-door distributors,Low Exposure,Low Complementarity,LE-LC,
75210 Boat and cable ferry operators and related occupations,75210,420,30600,5.717967987,3.635742712,0.712731481,Boat and cable ferry operators and related occupations,Low Exposure,High Complementarity,LE-HC,
75211 Railway and motor transport labourers,75211,20,22000,5.593691925,3.923353364,0.646944444,Railway and motor transport labourers,Low Exposure,High Complementarity,LE-HC,
75212 Public works and maintenance labourers,75212,505,19239.603960396,5.382308612,4.492732605,0.513611111,Public works and maintenance labourers,Low Exposure,Low Complementarity,LE-LC,
80020 Managers in agriculture,80020,305,57306.5573770492,5.843659754,3.933999933,0.672407407,Managers in agriculture,Low Exposure,High Complementarity,LE-HC,
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services",82031,400,37920,5.923792036,3.836263583,0.700833333,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services",Low Exposure,High Complementarity,LE-HC,
"83101 Oil and gas well drillers, servicers, testers and related workers",83101,40,38000,5.596483606,3.491583938,0.724444444,"Oil and gas well drillers, servicers, testers and related workers",Low Exposure,High Complementarity,LE-HC,
84110 Chain saw and skidder operators,84110,0,,5.225291325,4.143946315,0.555277778,Chain saw and skidder operators,Low Exposure,Low Complementarity,LE-LC,
84111 Silviculture and forestry workers,84111,115,35130.4347826087,5.48984448,3.725469462,0.669722222,Silviculture and forestry workers,Low Exposure,High Complementarity,LE-HC,
84120 Specialized livestock workers and farm machinery operators,84120,60,,5.604689177,3.944633015,0.641388889,Specialized livestock workers and farm machinery operators,Low Exposure,High Complementarity,LE-HC,
85100 Livestock labourers,85100,110,26090.9090909091,5.604689177,3.944633015,0.641388889,Livestock labourers,Low Exposure,High Complementarity,LE-HC,
85103 Nursery and greenhouse labourers,85103,90,20000,5.09409589,4.325736426,0.499166667,Nursery and greenhouse labourers,Low Exposure,Low Complementarity,LE-LC,
85121 Landscaping and grounds maintenance labourers,85121,4890,19775.5623721881,5.368045042,3.999847951,0.602777778,Landscaping and grounds maintenance labourers,Low Exposure,Low Complementarity,LE-LC,
92100 Power engineers and power systems operators,92100,150,,5.734984432,4.36120416,0.585902778,Power engineers and power systems operators,Low Exposure,Low Complementarity,LE-LC,
92101 Water and waste treatment plant operators,92101,150,52533.3333333333,5.833989062,4.041657978,0.655555556,Water and waste treatment plant operators,Low Exposure,High Complementarity,LE-HC,
94124 Woodworking machine operators,94124,0,,5.567488048,4.424342645,0.552916667,Woodworking machine operators,Low Exposure,Low Complementarity,LE-LC,
94132 Industrial sewing machine operators,94132,40,,5.585216871,5.241791572,0.409861111,Industrial sewing machine operators,Low Exposure,Low Complementarity,LE-LC,
"94140 Process control and machine operators, food and beverage processing",94140,30,60000,5.713786239,4.680125167,0.529097222,"Process control and machine operators, food and beverage processing",Low Exposure,Low Complementarity,LE-LC,
"94210 Furniture and fixture assemblers, finishers, refinishers and inspectors",94210,0,,5.75177402,4.512857268,0.562592593,"Furniture and fixture assemblers, finishers, refinishers and inspectors",Low Exposure,Low Complementarity,LE-LC,
"94213 Industrial painters, coaters and metal finishing process operators",94213,0,,5.506692956,4.405354365,0.548333333,"Industrial painters, coaters and metal finishing process operators",Low Exposure,Low Complementarity,LE-LC,
"94219 Other products assemblers, finishers and inspectors",94219,20,4400,5.76195143,4.465458589,0.575,"Other products assemblers, finishers and inspectors",Low Exposure,Low Complementarity,LE-LC,
95101 Labourers in metal fabrication,95101,20,16000,5.39842728,4.543676294,0.506666667,Labourers in metal fabrication,Low Exposure,Low Complementarity,LE-LC,
95102 Labourers in chemical products processing and utilities,95102,320,20968.75,5.688106254,4.325583271,0.585833333,Labourers in chemical products processing and utilities,Low Exposure,Low Complementarity,LE-LC,
"95103 Labourers in wood, pulp and paper processing",95103,30,19000,5.39842728,4.543676294,0.506666667,"Labourers in wood, pulp and paper processing",Low Exposure,Low Complementarity,LE-LC,
95106 Labourers in food and beverage processing,95106,260,23730.7692307692,5.39842728,4.543676294,0.506666667,Labourers in food and beverage processing,Low Exposure,Low Complementarity,LE-LC,
95107 Labourers in fish and seafood processing,95107,20,2400,5.39842728,4.543676294,0.506666667,Labourers in fish and seafood processing,Low Exposure,Low Complementarity,LE-LC,
"95109 Other labourers in processing, manufacturing and utilities",95109,410,,5.658769882,4.524399859,0.547383041,"Other labourers in processing, manufacturing and utilities",Low Exposure,Low Complementarity,LE-LC,
